record_id,source_pdf,source_doi,source_page,source_table,extraction_method,compound_id,compound_name,smiles_raw,inchikey,pubchem_cid,structure_resolution,endpoint_raw,value_raw,unit_raw,sem_raw,qualifier,endpoint_std,value_std,unit_std,conversion_note,target_raw,target_std,assay_type_raw,assay_type_std,organism,cell_line,conditions,validation_status,duplicate_level,conflict_group_id,notes
9a53e20b-a7ea-4f3b-b939-452f3a06a8d3,1-s2.0-S0960894X08008214-main.pdf,10.1016/j.bmcl.2008.07.054,3,Table 1,pdfplumber_table,15a(levorphanol),,,,,,Ki,0.21,nM,0.017,,Ki,0.21,nM,already canonical,l,OPRM1,binding,binding,,,,valid,,,
a533cb9b-7fdf-48b9-9c0c-5c0c5b6570f5,1-s2.0-S0960894X08008214-main.pdf,10.1016/j.bmcl.2008.07.054,3,Table 1,pdfplumber_table,15a(levorphanol),,,,,,Ki,4.2,nM,0.45,,Ki,4.2,nM,already canonical,d,OPRD1,binding,binding,,,,valid,,,
4a2c3b00-c07a-442c-99f1-4b8c16aa4c30,1-s2.0-S0960894X08008214-main.pdf,10.1016/j.bmcl.2008.07.054,3,Table 1,pdfplumber_table,15a(levorphanol),,,,,,Ki,2.3,nM,0.26,,Ki,2.3,nM,already canonical,j,OPRK1,binding,binding,,,,valid,,,
e4f3cbbc-2f51-4c85-9f83-cf33aeddc616,1-s2.0-S0960894X08008214-main.pdf,10.1016/j.bmcl.2008.07.054,3,Table 1,pdfplumber_table,5a(MCL-101),,,,,,Ki,0.23,nM,0.01,,Ki,0.23,nM,already canonical,l,OPRM1,binding,binding,,,,valid,,,
fa1a9215-402f-40cb-ba36-e41e7d5dc4a3,1-s2.0-S0960894X08008214-main.pdf,10.1016/j.bmcl.2008.07.054,3,Table 1,pdfplumber_table,5a(MCL-101),,,,,,Ki,5.9,nM,0.55,,Ki,5.9,nM,already canonical,d,OPRD1,binding,binding,,,,valid,,,
a349fc54-7379-47f5-8a85-cf1f2bc86306,1-s2.0-S0960894X08008214-main.pdf,10.1016/j.bmcl.2008.07.054,3,Table 1,pdfplumber_table,5a(MCL-101),,,,,,Ki,0.079,nM,0.003,,Ki,0.079,nM,already canonical,j,OPRK1,binding,binding,,,,valid,,,
011e3492-1cc3-4de2-aa4f-516f8de6b1ee,1-s2.0-S0960894X08008214-main.pdf,10.1016/j.bmcl.2008.07.054,3,Table 1,pdfplumber_table,3b(butorphanol),,,,,,Ki,0.22,nM,0.012,,Ki,0.22,nM,already canonical,l,OPRM1,binding,binding,,,,valid,,,
f6286bdc-7c5d-4056-884b-d220fcc802a1,1-s2.0-S0960894X08008214-main.pdf,10.1016/j.bmcl.2008.07.054,3,Table 1,pdfplumber_table,3b(butorphanol),,,,,,Ki,12,nM,1.1,,Ki,12.0,nM,already canonical,d,OPRD1,binding,binding,,,,valid,,,
ee6076ec-0805-400f-841f-ed9e7236d5b3,1-s2.0-S0960894X08008214-main.pdf,10.1016/j.bmcl.2008.07.054,3,Table 1,pdfplumber_table,3b(butorphanol),,,,,,Ki,0.12,nM,0.12,,Ki,0.12,nM,already canonical,j,OPRK1,binding,binding,,,,valid,,,
3e7a6a52-ec39-419e-8af7-9f9c00c15954,1-s2.0-S0960894X08008214-main.pdf,10.1016/j.bmcl.2008.07.054,3,Table 1,pdfplumber_table,4a(MCL-474),,,,,,Ki,2.7,nM,0.36,,Ki,2.7,nM,already canonical,l,OPRM1,binding,binding,,,,valid,,,
